row_id,Harvest_method,Fruit_total_norm,speed_tot_norm,stem_tot_norm,stem_ht_norm,branch_cnt_norm,fruit_loss_norm,Total_fruit_norm
134,1,0.219512195,0.45726033,0.466666667,0.42072422,0.321429783,0.257142857,0.20560606
135,1,0.192904656,0.687685312,0.36,0.544319725,0.26785845,0.032258065,0.20560606
136,1,0.210643016,0.201849508,0.386666667,0.451935206,0.250001339,0.069306931,0.186868186
137,1,0.354767184,0.407288648,0.226666667,0.393258552,0.44642956,0.506024096,0.186868186
138,1,0.277161863,0.612727788,0.28,0.549313483,0.482143782,0.34351145,0.186868186
142,1,0.246119734,0.253209293,0.373333333,0.35330849,0.321429783,0.264957265,0.066067615
143,1,0.086474501,0.510008218,0.373333333,0.401997628,0.428572449,0.177777778,0.066067615
144,1,0.066518847,0.766807143,0.253333333,0.501872784,0.464286671,0.222222222,0.066067615
145,1,0.407982262,0.183804178,0.666666667,0.418227341,0.160715784,0.468421053,0.086898821
146,1,0.372505543,0.371197988,0.4,0.229712984,0.303572672,0.316091954,0.086898821
147,1,0.192904656,0.558591798,0.373333333,0.161048814,0.232144228,0.64516129,0.086898821
148,1,0.403547672,0.232387758,0.413333333,0.253433333,0.357144005,0.35106383,0.172163806
149,1,0.487804878,0.468365149,0.346666667,0.426966417,0.178572895,0.181415929,0.172163806
150,1,0.201773836,0.704342539,0.373333333,0.142322222,0.44642956,0.680412371,0.172163806
151,1,0.392461197,0.321226305,0.64,0.478152434,0.410715338,0.049180328,0.018023093
152,1,0.407982262,0.646042243,0.346666667,0.172284769,0.160715784,0.515789474,0.018023093
153,1,0.188470067,0.97085818,0.293333333,0.179775406,0.26785845,0.208791209,0.018023093
154,0,0.235033259,0,0.52,0.426966417,0.392858227,0.071428571,0.507811718
155,0,0.396895787,0.003607935,0.333333333,0.267166167,0.339286894,0,0.507811718
156,0,0.299334812,0.007206719,0.44,0.204744195,0.196430006,0.234042553,0.507811718
157,1,0.352549889,0.28791185,0.413333333,0.35206005,0.285715561,0.484848485,0.121770668
158,1,0.458980044,0.579413332,0.266666667,0.12359563,0.26785845,0.535211268,0.121770668
159,1,0.445676275,0.870914815,0.293333333,0.179775406,0.357144005,0.507246377,0.121770668
160,1,0.385809313,0.190744689,0.506666667,0.235955181,0.232144228,0.638888889,0.071734928
161,1,0.128603104,0.385079011,0.493333333,0.111111236,0.178572895,0.640625,0.071734928
162,1,0.141906874,0.579413332,0.533333333,0.217228589,0.26785845,0.471428571,0.071734928
163,1,0.842572062,0.178251768,0.546666667,0.35330849,0.285715561,0.468911917,0.115337501
164,1,0.88691796,0.360093169,0.413333333,0.220973907,0.214287117,0.374384237,0.115337501
165,1,0.372505543,0.54193457,0.48,0.054931461,0.214287117,1,0.115337501
166,0,0.361419069,0.00167688,0.48,0.390761673,0.357144005,0.195266272,0.390483013
167,0,0.494456763,0.006943393,0.333333333,0.158551935,0.250001339,0.15720524,0.390483013
